Day of year,Hour,week_or_not,road_num,functional_road_class_desc,time_rate,rain,temperature,atmospheric_pressure,humidity,wind_speed,clouds,current_luminosity,atmosphere
15.0,19.0,1.0,1.0,3.0,0.9999928571938772,0.0,8.0,1019.0,93.0,1.0,12.0,0.0,0.0
15.0,19.0,1.0,2.0,3.0,3.5728719692126214,0.0,8.0,1019.0,93.0,1.0,12.0,0.0,0.0
15.0,19.0,1.0,3.0,1.0,1.301561264777737,0.0,8.0,1019.0,93.0,1.0,12.0,0.0,0.0
15.0,19.0,1.0,4.0,2.0,1.93335883558144,0.0,8.0,1019.0,93.0,1.0,12.0,0.0,0.0
15.0,20.0,1.0,1.0,3.0,0.9999928571938772,0.0,9.0,1020.0,93.0,1.0,20.0,0.0,0.0
15.0,20.0,1.0,2.0,3.0,1.2807009118195751,0.0,9.0,1020.0,93.0,1.0,20.0,0.0,0.0
15.0,20.0,1.0,3.0,1.0,0.9999973684279776,0.0,9.0,1020.0,93.0,1.0,20.0,0.0,0.0
15.0,20.0,1.0,4.0,2.0,1.1063806247220749,0.0,9.0,1020.0,93.0,1.0,20.0,0.0,0.0
15.0,21.0,1.0,1.0,3.0,0.9999928571938772,0.0,10.0,1020.0,87.0,2.0,75.0,0.0,0.0
15.0,21.0,1.0,2.0,3.0,0.9999993045117626,0.0,10.0,1020.0,87.0,2.0,75.0,0.0,0.0
15.0,21.0,1.0,3.0,1.0,0.9999973684279776,0.0,10.0,1020.0,87.0,2.0,75.0,0.0,0.0
15.0,21.0,1.0,4.0,2.0,0.9999978723449524,0.0,10.0,1020.0,87.0,2.0,75.0,0.0,0.0
15.0,22.0,1.0,1.0,3.0,0.9999928571938772,0.0,9.0,1020.0,93.0,3.0,75.0,0.0,0.0
15.0,22.0,1.0,2.0,3.0,0.999999342105696,0.0,9.0,1020.0,93.0,3.0,75.0,0.0,0.0
15.0,22.0,1.0,3.0,1.0,0.9999973684279776,0.0,9.0,1020.0,93.0,3.0,75.0,0.0,0.0
15.0,22.0,1.0,4.0,2.0,0.9999978723449524,0.0,9.0,1020.0,93.0,3.0,75.0,0.0,0.0
15.0,23.0,1.0,1.0,3.0,0.9999928571938772,0.0,10.0,1020.0,93.0,4.0,75.0,0.0,0.0
15.0,23.0,1.0,2.0,3.0,0.999999342105696,0.0,10.0,1020.0,93.0,4.0,75.0,0.0,0.0
15.0,23.0,1.0,3.0,1.0,0.9999973210123936,0.0,10.0,1020.0,93.0,4.0,75.0,0.0,0.0
15.0,23.0,1.0,4.0,2.0,0.9999978723449524,0.0,10.0,1020.0,93.0,4.0,75.0,0.0,0.0
16.0,0.0,1.0,1.0,3.0,0.9999928571938772,0.0,10.0,1020.0,87.0,4.0,75.0,0.0,0.0
16.0,0.0,1.0,2.0,3.0,0.999999342105696,0.0,10.0,1020.0,87.0,4.0,75.0,0.0,0.0
16.0,0.0,1.0,3.0,1.0,0.9999972973046016,0.0,10.0,1020.0,87.0,4.0,75.0,0.0,0.0
16.0,0.0,1.0,4.0,2.0,0.9999978723449524,0.0,10.0,1020.0,87.0,4.0,75.0,0.0,0.0
16.0,1.0,1.0,1.0,3.0,0.9999928571938772,0.0,10.0,1020.0,87.0,3.0,75.0,0.0,0.0
16.0,1.0,1.0,2.0,3.0,0.999999342105696,0.0,10.0,1020.0,87.0,3.0,75.0,0.0,0.0
