"Day of year","Hour","week_or_not","road_num","functional_road_class_desc","time_rate","rain","temperature","atmospheric_pressure","humidity","wind_speed","clouds","current_luminosity","atmosphere"
15,19,1,1,3,0.9999928571938772,0,8,1019,93,1,12,0,"0"
15,19,1,2,3,0.2922900109173548,0,8,1019,93,1,12,0,"0"
15,19,1,3,1,0.7935524753889477,0,8,1019,93,1,12,0,"0"
15,19,1,4,2,0.5450093089070785,0,8,1019,93,1,12,0,"0"
15,20,1,1,3,0.9999928571938772,0,9,1020,93,1,20,0,"0"
15,20,1,2,3,0.8041742049422274,0,9,1020,93,1,20,0,"0"
15,20,1,3,1,0.9999973684279777,0,9,1020,93,1,20,0,"0"
15,20,1,4,2,0.9193530127120685,0,9,1020,93,1,20,0,"0"
15,21,1,1,3,0.9999928571938772,0,10,1020,87,2,75,0,"0"
15,21,1,2,3,0.9999993045117626,0,10,1020,87,2,75,0,"0"
15,21,1,3,1,0.9999973684279777,0,10,1020,87,2,75,0,"0"
15,21,1,4,2,0.9999978723449523,0,10,1020,87,2,75,0,"0"
15,22,1,1,3,0.9999928571938772,0,9,1020,93,3,75,0,"0"
15,22,1,2,3,0.9999993421056959,0,9,1020,93,3,75,0,"0"
15,22,1,3,1,0.9999973684279777,0,9,1020,93,3,75,0,"0"
15,22,1,4,2,0.9999978723449523,0,9,1020,93,3,75,0,"0"
15,23,1,1,3,0.9999928571938772,0,10,1020,93,4,75,0,"0"
15,23,1,2,3,0.9999993421056959,0,10,1020,93,4,75,0,"0"
15,23,1,3,1,0.9999973210123936,0,10,1020,93,4,75,0,"0"
15,23,1,4,2,0.9999978723449523,0,10,1020,93,4,75,0,"0"
16,0,1,1,3,0.9999928571938772,0,10,1020,87,4,75,0,"0"
16,0,1,2,3,0.9999993421056959,0,10,1020,87,4,75,0,"0"
16,0,1,3,1,0.9999972973046016,0,10,1020,87,4,75,0,"0"
16,0,1,4,2,0.9999978723449523,0,10,1020,87,4,75,0,"0"
16,1,1,1,3,0.9999928571938772,0,10,1020,87,3,75,0,"0"
16,1,1,2,3,0.9999993421056959,0,10,1020,87,3,75,0,"0"
16,1,1,3,1,0.9999972973046016,0,10,1020,87,3,75,0,"0"
16,1,1,4,2,0.9999978723449523,0,10,1020,87,3,75,0,"0"
16,2,1,1,3,0.9999928571938772,0,10,1019,87,3,75,0,"0"
16,2,1,2,3,0.9999993421056959,0,10,1019,87,3,75,0,"0"
16,2,1,3,1,0.9999972973046016,0,10,1019,87,3,75,0,"0"
16,2,1,4,2,0.9999978723449523,0,10,1019,87,3,75,0,"0"
16,3,1,1,3,0.9999928571938772,0,9,1019,93,4,75,0,"0"
16,3,1,2,3,0.9999993421056959,0,9,1019,93,4,75,0,"0"
16,3,1,3,1,0.9999972973046016,0,9,1019,93,4,75,0,"0"
16,3,1,4,2,0.9999978723449523,0,9,1019,93,4,75,0,"0"
16,4,1,1,3,0.9999928571938772,0,9,1019,87,3,75,0,"0"
16,4,1,2,3,0.9999993421056959,0,9,1019,87,3,75,0,"0"
16,4,1,3,1,0.9999972973046016,0,9,1019,87,3,75,0,"0"
16,4,1,4,2,0.9999978723449523,0,9,1019,87,3,75,0,"0"
16,5,1,1,3,0.9999928571938772,,,,,,,,
16,5,1,2,3,0.9999993421056959,,,,,,,,
