"Day of year","Hour","week_or_not","road_num","functional_road_class_desc","time_rate","rain","temperature","atmospheric_pressure","humidity","wind_speed","clouds","current_luminosity"
15,19,1,1,3,0.9999928571938772,0,8,1019,93,1,12,0
15,19,1,2,3,3.5728719692126214,0,8,1019,93,1,12,0
15,19,1,3,1,1.301561264777737,0,8,1019,93,1,12,0
15,19,1,4,2,1.9333588355814397,0,8,1019,93,1,12,0
15,20,1,1,3,0.9999928571938772,0,9,1020,93,1,20,0
15,20,1,2,3,1.2807009118195753,0,9,1020,93,1,20,0
15,20,1,3,1,0.9999973684279777,0,9,1020,93,1,20,0
15,20,1,4,2,1.1063806247220749,0,9,1020,93,1,20,0
15,21,1,1,3,0.9999928571938772,0,10,1020,87,2,75,0
15,21,1,2,3,0.9999993045117626,0,10,1020,87,2,75,0
15,21,1,3,1,0.9999973684279777,0,10,1020,87,2,75,0
15,21,1,4,2,0.9999978723449523,0,10,1020,87,2,75,0
15,22,1,1,3,0.9999928571938772,0,9,1020,93,3,75,0
15,22,1,2,3,0.9999993421056959,0,9,1020,93,3,75,0
15,22,1,3,1,0.9999973684279777,0,9,1020,93,3,75,0
15,22,1,4,2,0.9999978723449523,0,9,1020,93,3,75,0
15,23,1,1,3,0.9999928571938772,0,10,1020,93,4,75,0
15,23,1,2,3,0.9999993421056959,0,10,1020,93,4,75,0
15,23,1,3,1,0.9999973210123936,0,10,1020,93,4,75,0
15,23,1,4,2,0.9999978723449523,0,10,1020,93,4,75,0
16,0,1,1,3,0.9999928571938772,0,10,1020,87,4,75,0
16,0,1,2,3,0.9999993421056959,0,10,1020,87,4,75,0
16,0,1,3,1,0.9999972973046016,0,10,1020,87,4,75,0
16,0,1,4,2,0.9999978723449523,0,10,1020,87,4,75,0
16,1,1,1,3,0.9999928571938772,0,10,1020,87,3,75,0
16,1,1,2,3,0.9999993421056959,0,10,1020,87,3,75,0
16,1,1,3,1,0.9999972973046016,0,10,1020,87,3,75,0
16,1,1,4,2,0.9999978723449523,0,10,1020,87,3,75,0
16,2,1,1,3,0.9999928571938772,0,10,1019,87,3,75,0
16,2,1,2,3,0.9999993421056959,0,10,1019,87,3,75,0
16,2,1,3,1,0.9999972973046016,0,10,1019,87,3,75,0
16,2,1,4,2,0.9999978723449523,0,10,1019,87,3,75,0
16,3,1,1,3,0.9999928571938772,0,9,1019,93,4,75,0
16,3,1,2,3,0.9999993421056959,0,9,1019,93,4,75,0
16,3,1,3,1,0.9999972973046016,0,9,1019,93,4,75,0
16,3,1,4,2,0.9999978723449523,0,9,1019,93,4,75,0
16,4,1,1,3,0.9999928571938772,0,9,1019,87,3,75,0
16,4,1,2,3,0.9999993421056959,0,9,1019,87,3,75,0
16,4,1,3,1,0.9999972973046016,0,9,1019,87,3,75,0
16,4,1,4,2,0.9999978723449523,0,9,1019,87,3,75,0
16,5,1,1,3,0.9999928571938772,0,9,1019,87,3,75,
16,5,1,2,3,0.9999993421056959,0,9,1019,87,3,75,
16,5,1,3,1,0.9999972973046016,0,9,1018,87,3,75,
16,5,1,4,2,0.9999978723449523,0,9,1018,87,3,75,
16,6,1,1,3,0.9999928571938772,0,9,1018,87,3,75,0
16,6,1,2,3,0.9999993421056959,0,9,1018,87,3,75,0
16,6,1,3,1,0.9999972973046016,0,9,1018,87,3,75,0
16,6,1,4,2,0.9999978723449523,0,9,1018,87,3,75,0
16,7,1,1,3,0.9999928571938772,0,9,1018,87,3,75,
16,7,1,2,3,0.9999992857147959,0,9,1018,88,3,75,
16,7,1,3,1,1.3783746530414782,0,9,1018,88,3,75,
16,7,1,4,2,1.3191461294763203,0,9,1018,88,3,75,
16,8,1,1,3,0.9999928571938772,0,9,1018,88,3,75,
16,8,1,2,3,1.2119039338530548,0,9,1018,89,3,75,
16,8,1,3,1,1.3302477404897892,0,9,1018,89,3,75,
16,8,1,4,2,1.6312022031158797,0,9,1018,89,3,75,
16,9,1,1,3,1.0952302721647227,0,9,1018,90,3,75,
16,9,1,2,3,1.4688586282572071,0,9,1018,90,3,75,
16,9,1,3,1,1.3712623628628964,0,10,1019,90,2,75,
16,9,1,4,2,1.5138857349602741,0,10,1019,90,2,75,
16,10,1,1,3,0.9999928571938772,0,10,1019,91,2,75,
16,10,1,2,3,1.3508763042480454,0,10,1019,91,2,75,
16,10,1,3,1,1.4511578352074852,0,10,1019,91,2,75,
16,10,1,4,2,1.5375263268991661,0,10,1019,92,2,75,
16,11,1,1,3,0.9999928571938772,0,10,1019,92,2,75,
16,11,1,2,3,1.4570165580405043,0,10,1019,92,2,75,
16,11,1,3,1,1.4864824689662999,0,10,1019,92,2,75,
16,11,1,4,2,1.5428454386611572,0,10,1019,93,2,75,
16,12,1,1,3,0.9999928571938772,0,10,1019,93,2,75,2
16,12,1,2,3,1.5533197247673167,0,10,1019,93,2,75,2
16,12,1,3,1,1.454713980296776,0,10,1019,93,2,75,2
16,12,1,4,2,1.9766507041069197,0,10,1019,93,2,75,2
16,13,1,1,3,0.9999928571938772,0,11,1018,87,2,75,2
16,13,1,2,3,1.4877182922279601,0,11,1018,87,2,75,2
16,13,1,3,1,1.5405363769287108,0,11,1018,87,2,75,2
16,13,1,4,2,1.6879396710503451,0,11,1018,87,2,75,2
16,14,1,1,3,0.9999928571938772,0,11,1018,87,2,75,2
16,14,1,2,3,1.5390340206856767,0,11,1018,87,2,75,2
16,14,1,3,1,1.2920781242777242,0,11,1018,87,2,75,2
16,14,1,4,2,1.9790147603457384,0,11,1018,87,2,75,2
16,15,1,1,3,0.9999928571938772,0,11,1018,93,3,75,2
16,15,1,2,3,1.6469287410556526,0,11,1018,93,3,75,2
16,15,1,3,1,1.3622533782024946,0,11,1018,93,3,75,2
16,15,1,4,2,1.6641513551472302,0,11,1018,93,3,75,2
16,16,1,1,3,0.9999928571938772,0,11,1018,93,2,75,2
16,16,1,2,3,1.271239721794521,0,11,1018,93,2,75,2
16,16,1,3,1,1.3963926223622818,0,11,1018,93,2,75,2
